1501808,"Breves",99223
1501907,"Bujaru",23429
1502004,"Cachoeira do Arari",19996
1501956,"Cachoeira do Piriá",18481
1502103,"Cametá",115377
1502152,"Canaã dos Carajás",26135
1502202,"Capanema",63799
1502301,"Capitão Poço",52557
1502400,"Castanhal",159110
1502509,"Chaves",20228
1502608,"Colares",11367
1502707,"Conceição do Araguaia",46916
1502756,"Concórdia do Pará",22148
1502764,"Cumaru do Norte",11348
1502772,"Curionópolis",18102
1502806,"Curralinho",26864
1502855,"Curuá",12644
1502905,"Curuçá",35790
1502939,"Dom Eliseu",39161
1502954,"Eldorado dos Carajás",29308
1503002,"Faro",18710
1503044,"Floresta do Araguaia",15516
1503077,"Garrafão do Norte",25436
1503093,"Goianésia do Pará",28583
1503101,"Gurupá",25306
1503200,"Igarapé-Açu",35005
1503309,"Igarapé-Miri",56639
1503408,"Inhangapi",10134
1503457,"Ipixuna do Pará",42636
1503507,"Irituia",30573
1503606,"Itaituba",124865
1503705,"Itupiranga",42332
1503754,"Jacareacanga",39892
1503804,"Jacundá",54513
1503903,"Juruti",35155
1504000,"Limoeiro do Ajuru",24483
1504059,"Mãe do Rio",28762
1504109,"Magalhães Barata",7883
1504208,"Marabá",199946
1504307,"Maracanã",29269
1504406,"Marapanim",27727
1504422,"Marituba",98746
1504455,"Medicilândia",23487
1504505,"Melgaço",17989
1504604,"Mocajuba",24328
1504703,"Moju",67195
1504802,"Monte Alegre",63543
1504901,"Muaná",30117
1504950,"Nova Esperança do Piriá",23599
1504976,"Nova Ipixuna",14808
1505007,"Nova Timboteua",12568
1505031,"Novo Progresso",21843
1505064,"Novo Repartimento",54506
1505106,"Óbidos",48287
1505205,"Oeiras do Pará",26487
1505304,"Oriximiná",57765
1505403,"Ourém",15719
1505437,"Ourilândia do Norte",21171
1505486,"Pacajá",40768
1505494,"Palestina do Pará",7329
1505502,"Paragominas",95479
1505536,"Parauapebas",145326
1505551,"Pau D'Arco",6583
1505601,"Peixe-Boi",7908
1505635,"Piçarra",13106
1505650,"Placas",19030
1505700,"Ponta de Pedras",25743
1505809,"Portel",47967
1505908,"Porto de Moz",27689
1506005,"Prainha",26866
1506104,"Primavera",10883
1506112,"Quatipuru",13232
1506138,"Redenção",66762
1506161,"Rio Maria",17457
1506187,"Rondon do Pará",47074
1506195,"Rurópolis",35033
1506203,"Salinópolis",38681
1506302,"Salvaterra",17858
1506351,"Santa Bárbara do Pará",14439
1506401,"Santa Cruz do Arari",6190
1506500,"Santa Isabel do Pará",54464
1506559,"Santa Luzia do Pará",18523
1506583,"Santa Maria das Barreiras",17156
1506609,"Santa Maria do Pará",23001
1506708,"Santana do Araguaia",52856
1506807,"Santarém",275571
1506906,"Santarém Novo",6267
1507003,"Santo Antônio do Tauá",26222
1507102,"São Caetano de Odivelas",16757
1507151,"São Domingos do Araguaia",21889
1507201,"São Domingos do Capim",27897
1507300,"São Félix do Xingu",64223
1507409,"São Francisco do Pará",11986
1507458,"São Geraldo do Araguaia",25291
1507466,"São João da Ponta",4949
1507474,"São João de Pirabas",19691
1507508,"São João do Araguaia",11963
1507607,"São Miguel do Guamá",44532
1507706,"São Sebastião da Boa Vista",21499
1507755,"Sapucaia",5444
1507805,"Senador José Porfírio",14566
1507904,"Soure",22244
1507953,"Tailândia",69581
1507961,"Terra Alta",10372
1507979,"Terra Santa",15885
1508001,"Tomé-Açu",48522
1508035,"Tracuateua",27374
1508050,"Trairão",16860
1508084,"Tucumã",27491
1508100,"Tucuruí",94015
1508126,"Ulianópolis",34485
1508159,"Uruará",34875
1508209,"Vigia",45680
1508308,"Viseu",55144
1508357,"Vitória do Xingu",9809
1508407,"Xinguara",40067
1600105,"Amapá",7745
1600204,"Calçoene",9060
1600212,"Cutias",4528
1600238,"Ferreira Gomes",5301
1600253,"Itaubal",3583
1600279,"Laranjal do Jari",39285
1600303,"Macapá",359020
1600402,"Mazagão",14418
1600501,"Oiapoque",20226
1600154,"Pedra Branca do Amapari",7800
1600535,"Porto Grande",14598
1600550,"Pracuúba",3533
1600600,"Santana",95733
1600055,"Serra do Navio",3921
1600709,"Tartarugalzinho",13160
1600808,"Vitória do Jari",11253
1700251,"Abreulândia",2310
1700301,"Aguiarnópolis",4120
1700350,"Aliança do Tocantins",5860
1700400,"Almas",7692
1700707,"Alvorada",8200
1701002,"Ananás",9615
1701051,"Angico",3264
1701101,"Aparecida do Rio Negro",4140
1701309,"Aragominas",5618
1701903,"Araguacema",5579
1702000,"Araguaçu",9244
1702109,"Araguaína",119128
1702158,"Araguanã",5154
1702208,"Araguatins",26722
1702307,"Arapoema",7034
1702406,"Arraias",10928
1702554,"Augustinópolis",15248
1702703,"Aurora do Tocantins",3486
1702901,"Axixá do Tocantins",9175
1703008,"Babaçulândia",10672
1703057,"Bandeirantes do Tocantins",2791
1703073,"Barra do Ouro",3684
1703107,"Barrolândia",5304
1703206,"Bernardo Sayão",4648
1703305,"Bom Jesus do Tocantins",2793
1703602,"Brasilândia do Tocantins",2183
1703701,"Brejinho de Nazaré",5452
1703800,"Buriti do Tocantins",8404
1703826,"Cachoeirinha",2235
1703842,"Campos Lindos",7858
1703867,"Cariri do Tocantins",3672
1703883,"Carmolândia",2383
1703891,"Carrasco Bonito",3411
1703909,"Caseara",4813
1704105,"Centenário",2457
1705102,"Chapada da Natividade",3791
1704600,"Chapada de Areia",1274
1705508,"Colinas do Tocantins",30190
1716703,"Colméia",9005
1705557,"Combinado",5023
1705607,"Conceição do Tocantins",4529
1706001,"Couto de Magalhães",5035
1706100,"Cristalândia",6698
1706258,"Crixás do Tocantins",1299
1706506,"Darcinópolis",5288
1707009,"Dianópolis",19158
1707108,"Divinópolis do Tocantins",6549
1707207,"Dois Irmãos do Tocantins",7261
1707306,"Dueré",4617
1707405,"Esperantina",8375
1707553,"Fátima",4101
1707652,"Figueirópolis",4950
1707702,"Filadélfia",8007
1708205,"Formoso do Araguaia",18743
1708254,"Fortaleza do Tabocão",2160
1708304,"Goianorte",5376
1709005,"Goiatins",11982
1709302,"Guaraí",22314
1709500,"Gurupi",73548
1709807,"Ipueiras",1754
1710508,"Itacajá",6565
1710706,"Itaguatins",6246
1710904,"Itapiratins",3521
1711100,"Itaporã do Tocantins",3080
1711506,"Jaú do Tocantins",3906
1711803,"Juarina",2200
1711902,"Lagoa da Confusão",8481
1711951,"Lagoa do Tocantins",3278
1712009,"Lajeado",2219
1712157,"Lavandeira",1640
1712405,"Lizarda",3737
1712454,"Luzinópolis",2874
1712504,"Marianópolis do Tocantins",4616
1712702,"Mateiros",1788
1712801,"Maurilândia do Tocantins",3281
1713205,"Miracema do Tocantins",20194
1713304,"Miranorte",12200
1713601,"Monte do Carmo",6586
1713700,"Monte Santo do Tocantins",1911
1713957,"Muricilândia",2935
1714203,"Natividade",9355
1714302,"Nazaré",4652
1714880,"Nova Olinda",10835
1715002,"Nova Rosalândia",3888
1715101,"Novo Acordo",3870
1715150,"Novo Alegre",1848
1715259,"Novo Jardim",2492
1715507,"Oliveira de Fátima",1114
1721000,"Palmas",184010
1715705,"Palmeirante",4837
1713809,"Palmeiras do Tocantins",4672
1715754,"Palmeirópolis",8366
1716109,"Paraíso do Tocantins",41500
1716208,"Paranã",10794
1716307,"Pau D'Arco",4909
1716505,"Pedro Afonso",10605
1716604,"Peixe",9002
1716653,"Pequizeiro",4940
1717008,"Pindorama do Tocantins",4521
1717206,"Piraquê",3103
1717503,"Pium",6598
1717800,"Ponte Alta do Bom Jesus",4660
1717909,"Ponte Alta do Tocantins",6763
1718006,"Porto Alegre do Tocantins",2917
1718204,"Porto Nacional",46598
1718303,"Praia Norte",7267
1718402,"Presidente Kennedy",3785
1718451,"Pugmil",2230
1718501,"Recursolândia",3777
1718550,"Riachinho",3798
1718659,"Rio da Conceição",1499
1718709,"Rio dos Bois",2150
1718758,"Rio Sono",6345
1718808,"Sampaio",3788
1718840,"Sandolândia",3543
1718865,"Santa Fé do Araguaia",5773
1718881,"Santa Maria do Tocantins",2755
1718899,"Santa Rita do Tocantins",2330
1718907,"Santa Rosa do Tocantins",4545
1719004,"Santa Tereza do Tocantins",2366
1720002,"Santa Terezinha do Tocantins",2356
1720101,"São Bento do Tocantins",4583
1720150,"São Félix do Tocantins",1451
1720200,"São Miguel do Tocantins",10536
1720259,"São Salvador do Tocantins",3102
1720309,"São Sebastião do Tocantins",4373
1720499,"São Valério da Natividade",5024
1720655,"Silvanópolis",5250
1720804,"Sítio Novo do Tocantins",9568
1720853,"Sucupira",1718
1720903,"Taguatinga",14528
1720937,"Taipas do Tocantins",1974
1720978,"Talismã",2632
1721109,"Tocantínia",6866
1721208,"Tocantinópolis",21932
1721257,"Tupirama",1448
1721307,"Tupiratins",2072
1722081,"Wanderlândia",9574
1722107,"Xambioá",11160
2100055,"Açailândia",100017
2100105,"Afonso Cunha",5834
2100154,"Água Doce do Maranhão",12213
2100204,"Alcântara",21969
2100303,"Aldeias Altas",22328
2100402,"Altamira do Maranhão",7607
2100436,"Alto Alegre do Maranhão",22676
2100477,"Alto Alegre do Pindaré",32955
2100501,"Alto Parnaíba",10606
2100550,"Amapá do Maranhão",6361
2100600,"Amarante do Maranhão",36850
2100709,"Anajatuba",24695
2100808,"Anapurus",12990
2100832,"Apicum-Açu",13641
2100873,"Araguanã",10221
2100907,"Araioses",38800
2100956,"Arame",27967
2101004,"Arari",28585
