3500501;"ÁGUAS DE LINDÓIA";"SP";"Sudeste";" ";-22,47382;-46,63178
3500550;"ÁGUAS DE SANTA BÁRBARA";"SP";"Sudeste";" ";-22,86915;-49,23861
3500600;"ÁGUAS DE SÃO PEDRO";"SP";"Sudeste";" ";-22,59734;-47,88398
3100906;"ÁGUAS FORMOSAS";"MG";"Sudeste";" ";-17,08230;-40,93523
4200556;"ÁGUAS FRIAS";"SC";"Sul";" ";-26,88023;-52,85942
5200258;"ÁGUAS LINDAS DE GOIÁS";"GO";"Centro-Oeste";" ";-15,73794;-48,28344
4200606;"ÁGUAS MORNAS";"SC";"Sul";" ";-27,70660;-48,84054
3101003;"ÁGUAS VERMELHAS";"MG";"Sudeste";" ";-15,74532;-41,45879
4300109;"AGUDO";"RS";"Sul";" ";-29,64566;-53,25869
3500709;"AGUDOS";"SP";"Sudeste";" ";-22,47404;-48,99016
4100301;"AGUDOS DO SUL";"PR";"Sul";" ";-25,99062;-49,33870
3200136;"ÁGUIA BRANCA";"ES";"Sudeste";" ";-18,98736;-40,73664
2500205;"AGUIAR";"PB";"Nordeste";" ";-7,09481;-38,17758
1700301;"AGUIARNÓPOLIS";"TO";"Norte";" ";-6,54717;-47,47046
3101102;"AIMORÉS";"MG";"Sudeste";" ";-19,49195;-41,07333
2900603;"AIQUARA";"BA";"Nordeste";" ";-14,12728;-39,88578
2300408;"AIUABA";"CE";"Nordeste";" ";-6,56330;-40,12316
3101201;"AIURUOCA";"MG";"Sudeste";" ";-21,97590;-44,60282
4300208;"AJURICABA";"RS";"Sul";" ";-28,23773;-53,77282
3101300;"ALAGOA";"MG";"Sudeste";" ";-22,17114;-44,63810
2500304;"ALAGOA GRANDE";"PB";"Nordeste";" ";-7,03678;-35,63389
2500403;"ALAGOA NOVA";"PB";"Nordeste";" ";-7,05780;-35,75946
2500502;"ALAGOINHA";"PB";"Nordeste";" ";-6,94814;-35,54549
2600609;"ALAGOINHA";"PE";"Nordeste";" ";-8,46627;-36,77546
2200251;"ALAGOINHA DO PIAUÍ";"PI";"Nordeste";" ";-7,00818;-40,93464
2900702;"ALAGOINHAS";"BA";"Nordeste";" ";-12,13418;-38,42262
3500758;"ALAMBARI";"SP";"Sudeste";" ";-23,55390;-47,89359
3101409;"ALBERTINA";"MG";"Sudeste";" ";-22,19976;-46,61160
2100204;"ALCÂNTARA";"MA";"Nordeste";" ";-2,40328;-44,41701
